you	Y UW 
editorialist	EH D AH T AO R IY AH L IH S T 
editorialists	EH D AH T AO R IY AH L IH S T S 
edlund	EH D L AH N D 
edmar	EH D M AA R 
edmundson	EH D M AH N D S AH N 
edra	EH D R AH 
edyth	EH D IH TH 
efferent	EH F ER AH N T 
effusively	IH F Y UW S IH V L IY 
egle	EH G AH L 
egli	EH G L IY 
ehlers	EH L ER Z 
ehrenberg	EH R AH N B ER G 
eich	AY K 
eichholz	AY K HH OW L Z 
eichstadt	AY K S T AE T 
eide	AY D 
eigenvalue	AY G AH N V AE L Y UW 
eigenvalues	AY G AH N V AE L Y UW Z 
eiland	AY L AH N D 
eimer	AY M ER 
eir	AY R 
eisele	AY S AH L 
eisemann	AY S M AH N 
eisenbach	AY Z AH N B AA K 
eisenberger	AY Z AH N B ER G ER 
eisenman	AY Z AH N M AH N 
eisenmenger	AY Z AH N M EH NG ER 
eisert	AY S ER T 
ekstrom	EH K S T R AH M 
elastomer	IH L AE S T AH M ER 
elastomers	IH L AE S T AH M ER Z 
elat	EH L AE T 
elate	IH L EY T 
elating	IH L EY T IH NG 
elayne	IH L EY N 
elbaum	EH L B AW M 
elbrus	EH L B R AH S 
eldin	EH L D IH N 
eldredge	IH L D R EH JH 
eleazer	EH L AH Z ER 
electrique	EH L EH K T R IY K 
electrophoresis	IH L EH K T R OW F AO R IH S IH S 
eleen	EH L IY N 
eleuthera	IH L UW TH ER AH 
eley	IY L IY 
elford	EH L F ER D 
elgart	EY L G AA R T 
ellenbogen	EH L IH N B AH G AH N 
ellene	EH L IY N 
ellerbe	EH L ER B 
ellers	EH L ER Z 
ellicott	EH L IH K AA T 
ellijay	IY L AY JH EY 
elliman	EH L IH M AH N 
ellinger	EH L IH NG ER 
elmquist	EH L M K W IH S T 
elsas	EH L S AH Z 
elser	EH L S ER 
elsey	EH L S IY 
elsworth	EH L Z W ER TH 
elvington	EH L V IH NG T AH N 
emancipations	IH M AE N S AH P EY SH AH N Z 
embattle	EH M B AE T AH L 
embezzles	IH M B EH Z AH L Z 
emelda	EH M EH L D AH 
emeryville	EH M ER IY V IH L 
emigrations	EH M AH G R EY SH AH N Z 
emigre	EH M AH G R EY 
emilo	EH M IY L OW 
emmer	EH M ER 
emmerson	EH M ER S AH N 
emoticon	AH M OW T AH K AA N 
emphases	EH M F AH S IY Z 
empresa	EH M P R EH S AH 
emption	EH M P SH AH N 
emulsifier	IH M AH L S AH F AY ER 
enamor	EH N AE M ER 
encinas	EH N S IH N AH Z 
encyclicals	EH N S IH K L IH K AH L Z 
endlich	EH N D L IH K 
endometriosis	EH N D OW M EH T R IY OW S IH S 
endpoint	EH N D P OY N T 
enfeeble	EH N F IY B AH L 
engberg	EH NG B ER G 
enge	EH N JH 
engined	EH N JH AH N D 
engman	EH NG M AH N 
enjoyably	EH N JH OY AH B L IY 
ennea	EH N IY AH 
ennen	EH N AH N 
enrolls	EH N R OW L Z 
ensnarled	IH N S N AA R L D 
ensor	EH N S ER 
entomologists	EH N T AH M AA L AH JH AH S T S 
entrenchment	EH N T R EH N CH M AH N T 
entrikin	EH N T R IH K IH N 
enumerates	IH N UW M ER EY T S 
epigrammatic	EH P IH G R AH M AE T IH K 
eppers	EH P ER Z 
equilibria	IY K W AH L IH B R IY AH 
erena	ER EH N AH 
erhart	ER HH AA R T 
eridania	EH R IH D AE N IY AH 
erler	ER L ER 
ermin	ER M IH N 
erne	ER N 
erythropoietin	EH R IH TH R AH P OY T IH N 
escamilla	EH S K AA M IH L AH 
eschen	EH SH AH N 
eschenburg	EH SH AH N B ER G 
escuchando	EH S K UW CH AA N D OW 
espinal	EY S P IY N AH L 
espino	EY S P IY N OW 
essman	EH S M AH N 
essner	EH S N ER 
estel	EH S T AH L 
estell	EH S T AH L 
esteve	EH S T IH V 
esteves	EH S T EY V EH S 
estrogens	EH S T R AH JH IH N Z 
estrous	EH S T R AH S 
etablissements	EH T AE B L IH S AH M AA N T S 
ethelyn	EH TH IH L IH N 
ethnocentrism	EH TH N OW S EH N T R IH Z AH M 
ethology	IH TH AA L AH JH IY 
eubank	Y UW B AE NG K 
eucalypti	Y UW K AH L IH P T AY 
euchred	Y UW K ER D 
eurobonds	Y UW R OW B AA N D Z 
eurofighter	Y UW R OW F AY T ER 
europium	Y UH R OW P IY AH M 
evadne	IH V EH D N IY 
evenhanded	IY V AH N HH AE N D IH D 
evenness	IY V AH N N AH S 
evensen	EH V IH N S AH N 
evered	EH V ER D 
everette	EH V ER EH T 
everhardt	EH V ER HH AA R T 
everingham	EH V ER IH NG HH AE M 
everman	EH V ER M AH N 
evin	EH V IH N 
evola	EH V OW L AH 
ewbank	Y UW B AH NG K 
ewers	Y UW ER Z 
exacerbation	IH G Z AE S ER B EY SH AH N 
excimer	EH K S IH M ER 
excises	EH K S AY Z IH Z 
excoriated	EH K S K AO R IY EY T IH D 
exel	EH K S EH L 
exercisers	EH K S ER S AY Z ER Z 
exogenous	EH K S OW JH AH N AH S 
exon	EH K S AO N 
exothermic	EH K S OW TH ER M IH K 
experimentalist	IH K S P EH R AH M EH N T AH L IH S T 
expiratory	IH K S P AY R AH T AO R IY 
expressivity	EH K S P R AH S IH V IH T IY 
extinguishment	IH K S T IH NG G W IH SH M AH N T 
extirpates	EH K S T ER P EY T S 
extraneously	EH K S T R EY N IY AH S L IY 
extraterritorial	EH K S T R AH T EH R IH T AO R IY AH L 
extricable	EH K S T R IH K AH B AH L 
extruding	IH K S T R UW D IH NG 
exum	IH G Z AH M 
eyde	EY D 
eyman	EY M AH N 
faas	F AA Z 
fabricator	F AE B R IH K EY T ER 
factionalism	F AE K SH AH N AH L IH Z AH M 
faddis	F AE D IH S 
fadlallah	F AE D L AE L AH 
fahs	F AE S 
failla	F EY L AH 
fairbairn	F EH R B ER N 
fairbank	F EH R B AH NG K 
falani	F AH L AA N IY 
falck	F AE L K 
falgout	F AE L G AW T 
fallaciously	F AH L EY SH AH S L IY 
falsettos	F AO L S EH T OW Z 
fambrough	F AE M B R AW 
fanara	F AA N AA R AH 
fangle	F AE NG G AH L 
fantastik	F AE N T AE S T IH K 
fanueil	F AE N Y AH L 
faraci	F AA R AA CH IY 
farago	F AA R AA G OW 
farese	F AA R EY Z IY 
farhat	F AA R HH AE T 
farinacci	F AA R IY N AA CH IY 
farinas	F ER IY N AH Z 
farino	F AA R IY N OW 
farling	F AA R L IH NG 
farnam	F AA R N AH M 
farner	F AA R N ER 
farquar	F AA R K W AA R 
farro	F AA R OW 
farron	F EH R AH N 
farrugia	F AA R UW JH AH 
farthingale	F AA R DH IH NG G EY L 
farver	F AA R V ER 
faucher	F AW K ER 
faught	F AO T 
faulks	F AO K S 
favaloro	F AA V AA L AO R OW 
faver	F EY V ER 
favro	F AE V R OW 
fayrouz	F EY R UW Z 
fedders	F EH D ER Z 
fedeli	F EH D EH L IY 
federalized	F EH D ER AH L AY Z D 
federman	F IY D ER M AH N 
federov	F EH D ER AO V 
federspiel	F EH D ER S P IY L 
feeley	F IY L IY 
feher	F EH HH ER 
fehling	F EH L IH NG 
fehringer	F EH R IH NG ER 
feiger	F AY G ER 
feigin	F AY G IH N 
feild	F IY L D 
feldene	F EH L D IY N 
feldt	F EH L T 
felger	F EH L G ER 
felps	F EH L P S 
felter	F EH L T ER 
felty	F EH L T IY 
fenceless	F EH N S L AH S 
fenelon	F EH N IH L AA N 
fennimore	F EH N IH M AO R 
fenske	F EH N S K 
feola	F IY AA L AH 
ferarro	F EH R AA R OW 
ferch	F ER K 
ferland	F ER L AH N D 
ferman	F ER M AH N 
fermium	F EH R M IY AH M 
ferrel	F EH R EH L 
ferrelli	F ER EH L IY 
ferrera	F EH R EH R AH 
ferrite	F EH R AY T 
ferriz	F EH R IH Z 
fessenden	F EH S AH N D AH N 
feucht	F OY K T 
feuded	F Y UW D IH D 
fiberboard	F AY B ER B AO R D 
fiberoptic	F AY B ER AA P T IH K 
fibreboard	F AY B ER B AO R D 
fichus	F IH CH AH S 
fickett	F IH K IH T 
fictionalize	F IH K SH AH N AH L AY Z 
fidler	F AY D AH L ER 
fiebelkorn	F IY B IH L K ER N 
fieldhouse	F IY L D HH AW S 
fiers	F IY R Z 
fiest	F IY IH S T 
figueras	F IY G EH R AA Z 
figueredo	F IY G EH R EY D OW 
filippone	F IH L IH P OW N 
filma	F IH L M AH 
filmer	F IH L M ER 
financiere	F IH N AE N S IH R 
fingerpaint	F IH NG G ER P EY N T 
fingerpointing	F IH NG G ER P OY N T IH NG 
fininvest	F IH N IH N V EH S T 
finnie	F IH N IY 
firman	F ER M AH N 
fite	F AY T 
fithe	F IH TH 
fitt	F IH T 
fitzco	F IH T S K OW 
fitzmaurice	F IH T S M AO R IH S 
flaminian	F L AH M IH N IY AH N 
flammability	F L AE M AH B IH L IH T IY 
flashgun	F L AE SH G AH N 
flashguns	F L AE SH G AH N Z 
flashpoints	F L AE SH P OY N T S 
flaten	F L AE T AH N 
flater	F L EY T ER 
flatley	F L AE T L IY 
fleeger	F L IY G ER 
flegel	F L EH G AH L 
flesch	F L EH SH 
flesher	F L EH SH ER 
flexion	F L EH K SH AH N 
flextime	F L EH K S T AY M 
flintlocks	F L IH N T L AA K S 
flippen	F L IH P AH N 
floodplain	F L AH D P L EY N 
florance	F L AO R AH N S 
florea	F L AO R IY AH 
floridian	F L AO R IH D IY AH N 
flory	F L AO R IY 
flumes	F L UW M Z 
fluor	F L UW ER 
fluoresce	F L UH R EH S 
fluorescently	F L UH R EH S AH N T L IY 
fluorides	F L UH R AY D Z 
flury	F L UW R IY 
flus	F L UW Z 
flusters	F L AH S T ER Z 
flythe	F L AY DH 
foeller	F OW L ER 
foerster	F AO R S T ER 
fogelberg	F OW G AH L B ER G 
fogelson	F OW G AH L S AH N 
fojtik	F AA Y T IH K 
folmar	F OW L M ER 
foltz	F OW L T S 
fontanella	F AA N T AH N EH L AH 
fonte	F AA N T 
foodtown	F UW D T AW N 
foraying	F AO R EY IH NG 
forelimb	F AO R L IH M 
forestalling	F AO R S T AA L IH NG 
forgette	F ER ZH EH T 
forgoes	F AO R G OW Z 
forgy	F AO R JH IY 
forkey	F AO R K IY 
formalization	F AO R M AH L AH Z EY SH AH N 
formidably	F AO R M AH D AH B L IY 
fornes	F AO R N Z 
forrey	F AO R IY 
forsell	F AO R S AH L 
forslund	F AO R S L AH N D 
forthrightly	F AO R TH R AY T L IY 
fortifiers	F AO R T AH F AY ER Z 
fortman	F AO R T M AH N 
forton	F AO R T AH N 
fossum	F AA S AH M 
foti	F OW T IY 
fougere	F AW G ER 
foye	F OY 
foyle	F OY L 
fractiousness	F R AE K SH AH S N AH S 
fraleigh	F R EY L IY 
fram	F R AE M 
franceschi	F R AA N CH EH S K IY 
franchiser	F R AE N CH AY Z ER 
frankenberry	F R AE NG K AH N B EH R IY 
franssen	F R AE N S AH N 
franzen	F R AE N Z AH N 
franzese	F R AA N Z EY Z IY 
fratricides	F R AE T R AH S AY D Z 
fraudsters	F R AO D S T ER Z 
fredette	F R IH D EH T 
freeberg	F R IY B ER G 
freeholder	F R IY HH OW L D ER 
freemans	F R IY M AH N Z 
freestone	F R IY S T OW N 
fregoso	F R EH G OW S OW 
freid	F R IY D 
freier	F R EY ER 
frenette	F R IH N EH T 
freni	F R EH N IY 
frenz	F R EH N Z 
freudenthal	F R OY D IH N TH AH L 
fricks	F R IH K S 
fridman	F R IH D M AH N 
fridolf	F R IH D OW L F 
friederich	F R IY D ER IH K 
friedhoff	F R IY D HH AO F 
friedl	F R IY D AH L 
friedli	F R IY D L IY 
friedly	F R IY D L IY 
friedrick	F R IY D R IH K 
friedsam	F R IY D S AE M 
frieman	F R IY M AH N 
frier	F R AY ER 
friis	F R IY Z 
frisbie	F R IH S B IY 
frisby	F R IH S B IY 
friskin	F R IH S K IH N 
fritts	F R IH T S 
fritzen	F R IH T Z AH N 
frontieres	F R AA N T Y EH R Z 
frontrunners	F R AH N T R AH N ER Z 
frothiness	F R AO TH IY N IH S 
froths	F R AO TH S 
frum	F R AH M 
fucci	F UW CH IY 
fuddruckers	F AH D R AH K ER Z 
fudgy	F AH JH IY 
fudosan	F Y UW D AH S AA N 
fugett	F Y UW JH IH T 
fujikura	F UW JH IH K UW R AH 
fulco	F UH L K OW 
fullman	F UH L M AH N 
fulwider	F AH L W AY D ER 
funari	F UW N AA R IY 
funderburke	F AH N D ER B ER K 
fungible	F AH N JH IH B AH L 
funkhouser	F AH NG K HH AW S ER 
furbish	F ER B IH SH 
furbished	F ER B IH SH T 
furer	F Y UH R ER 
furia	F Y UH R IY AH 
furniss	F ER N IH S 
fye	F AY 
gaarder	G AA R D ER 
gabhart	G AE B HH AA R T 
gabrielson	G AE B R IY L S AH N 
gadd	G AE D 
gaddie	G AE D IY 
gadsden	G AE D Z D AH N 
gaffin	G AE F IH N 
gagan	G EY G AH N 
gagliardi	G AA G L IY AA R D IY 
gagliardo	G AA G L IY AA R D OW 
gaglio	G AE G L IY OW 
gaglione	G AA G L IY OW N IY 
gaier	G EY ER 
gaithersburg	G EY TH ER Z B ER G 
galactose	G AH L AE K T OW S 
galang	G AE L AH NG 
galax	G AE L AE K S 
gallacher	G AE L AH K ER 
gallaway	G AO L AH W EY 
gallerani	G AA L ER AA N IY 
galligan	G AE L IH G AH N 
galloways	G AE L OW W EY Z 
galluccio	G AA L UW CH IY OW 
galoob	G AH L UW B 
galyen	G AE L IY EH N 
gambone	G AA M B OW N 
gamesman	G EY M Z M AE N 
gamper	G AE M P ER 
gandara	G AA N D AA R AH 
gandolfi	G AA N D OW L F IY 
gangi	G AE N JH IY 
ganic	G AE N IH K 
gantenbein	G AE N T IH N B AY N 
gappa	G AE P AH 
garagiola	G ER AE JH IY OW L AH 
garcias	G AA R S IY AH Z 
gardened	G AA R D AH N D 
garett	G AE R IH T 
garfinkel	G AA R F IH NG K AH L 
garg	G AA R G 
garges	G AA R JH IH Z 
gargiulo	G AA R JH UW L OW 
garin	G EH R IH N 
garis	G AE R IH S 
garling	G AA R L IH NG 
garlitz	G AA R L IH T S 
garrahan	G AE R AH HH AE N 
garrelts	G AE R IH L T S 
garriga	G AE R IH G AH 
garro	G AA R OW 
garsten	G AA R S T EH N 
gaskins	G AE S K IH N Z 
gasolines	G AE S AH L IY N Z 
gaspari	G AA S P AA R IY 
gaster	G AE S T ER 
gaub	G AO B 
gauntness	G AO N T N AH S 
gause	G AO Z 
gausman	G AW S M AH N 
gaven	G EY V AH N 
gavras	G AE V R AH S 
gayda	G EY D AH 
gayton	G EY T AH N 
gebbie	JH EH B IY 
gebo	JH EY B OW 
gehling	G EH L IH NG 
gehm	JH EH M 
geico	G AY K OW 
geier	G AY ER 
geiser	G AY S ER 
gekas	G IY K AH S 
geminate	JH EH M AH N AH T 
gemmell	G EH M AH L 
geneen	JH AH N IY N 
generali	JH EH N ER AA L IY 
generalist	JH EH N ER AH L IH S T 
generationally	JH EH N ER EY SH AH N AH L IY 
generative	JH EH N ER AH T IH V 
genis	G EH N IH S 
gentlelady	JH EH N T AH L EY D IY 
gentrifying	JH EH N T R IH F AY IH NG 
gentz	JH EH N T S 
geochemistry	JH IY OW K EH M AH S T R IY 
geon	JH IY AA N 
geopolitic	JH IY OW P AA L IH T IH K 
georgeson	JH AO R JH IH S AH N 
gerace	JH ER AA CH IY 
geren	G IH R AH N 
gerich	G EH R IH K 
gerling	G ER L IH NG 
germann	G ER M AH N 
germanys	JH ER M AH N IY Z 
germer	JH ER M ER 
gerold	G EH R OW L D 
gersh	G ER SH 
gerstner	G ER S T N ER 
gertner	G ER T N ER 
gertz	G ER T S 
getts	G EH T S 
geva	G EY V AH 
gewgaw	G Y UW G AA 
ghanaians	G AH N AY AH N Z 
ghastliness	G AE S T L IY N AH S 
ghulam	G Y UW L AE M 
giancana	JH IY AH K AA N AA 
giang	JH IY AA NG 
giardini	JH ER D IY N IY 
gibney	JH IH B N IY 
giel	JH IY L 
gierke	JH IH R K 
giffin	G IH F IH N 
giffords	G IH F ER D Z 
gilberti	JH IY L B EH R T IY 
gilboy	G IH L B OY 
gildner	G IH L D N ER 
gillard	ZH IH L AA R D 
gilleran	G IH L ER AE N 
gillett	JH IH L IH T 
gilliland	G IH L AH L AH N D 
gilts	G IH L T S 
gilyard	ZH AH L Y AA R D 
ginas	JH IY N AH Z 
gines	JH AY N Z 
ginn	JH IH N 
giovanetti	JH OW V AA N EH T IY 
giovannini	JH OW V AA N IY N IY 
girds	G ER D Z 
gire	G AY R 
girvan	G ER V AH N 
gisenyi	JH IH S EH N IY 
gitchell	JH IH CH AH L 
giudici	JH UW D IH CH IY 
glab	G L AE B 
gladstones	G L AE D S T OW N Z 
glamorized	G L AE M ER AY Z D 
glanz	G L AE N Z 
glasco	G L AA S K OW 
glassner	G L AE S N ER 
gleim	G L IY M 
glendening	G L EH N D AH N IH NG 
gless	G L EH S 
glessner	G L EH S N ER 
glissandi	G L AH S AA N D IY 
glisson	G L IH S AH N 
globalize	G L OW B AH L AY Z 
glossier	G L AO S IY ER 
glowacki	G L AW AA T S K IY 
glucosamine	G L UW K AA S AH M IY N 
glucoside	G L UW K AH S AY D 
glucosides	G L UW K AH S AY D Z 
gluts	G L AH T S 
glycemic	G L AY S EH M IH K 
gnatcatcher	N AE T K AE CH ER 
gnatcatchers	N AE T K AE CH ER Z 
gnosticism	N AA S T IH S IH Z AH M 
goans	G OW N Z 
gobie	G OW B IY 
godding	G AA D IH NG 
godette	G AH D EH T 
godinez	G OW D IY N EH Z 
godkin	G AA D K IH N 
godsey	G AA D Z IY 
godshall	G AA D SH AH L 
goede	G OW D 
goette	G EH T 
goffman	G AA F M AH N 
goins	G OY N Z 
goizueta	G OY Z W EY T AH 
goldenson	G OW L D AH N S AH N 
goldenthal	G OW L D AH N TH AA L 
goldsborough	G OW L D Z B ER OW 
goldschmid	G OW L D SH M IH D 
goldston	G OW L D S T AH N 
goldwin	G OW L D W IH N 
golomb	G AA L AH M 
golonka	G OW L OW NG K AH 
gonder	G AA N D ER 
goodfella	G UH D F EH L AH 
goodfellows	G UH D F EH L OW Z 
goodin	G UH D AH N 
goodison	G UH D IH S AH N 
goodnights	G UH D N AY T S 
goold	G UW L D 
gooley	G UW L IY 
goosen	G UW S AH N 
gorder	G AO R D ER 
gorelick	G AO R IH L IH K 
gores	G AO R Z 
gorgas	G AO R G AH Z 
gorniak	G AO R N IY AE K 
gossard	G AH S AA R D 
gossett	G AA S IH T 
gotcher	G AA CH ER 
gottman	G AA T M AH N 
gotts	G AA T S 
goulston	G UW L S T AH N 
gover	G AH V ER 
governmentally	G AH V ER M EH N T AH L IY 
goward	G OW W ER D 
gowing	G AW IH NG 
grabau	G R AE B AW 
grabbe	G R AE B 
graci	G R AA CH IY 
grado	G R AA D OW 
gradualism	G R AE JH AH W AH L IH Z AH M 
grafe	G R EY F 
graichen	G R AY K AH N 
grammophon	G R AE M AH F AA N 
granderson	G R AE N D ER S AH N 
granduncles	G R AE N D AH NG K AH L Z 
granges	G R EY N JH IH Z 
granoff	G R AE N AO F 
grantz	G R AE N T S 
granz	G R AE N T S 
grassers	G R AE S ER Z 
grassgreen	G R AE S G R IY N 
graveline	G R EY V L AY N 
gravett	G R AE V IH T 
gravitates	G R AE V IH T EY T S 
graw	G R AO 
grayest	G R EY IH S T 
grayling	G R EY L IH NG 
greave	G R IY V 
grebner	G R EH B N ER 
greenberger	G R IY N B ER G ER 
greenbush	G R IY N B UH SH 
greencastle	G R IY N K AE S AH L 
greenfeld	G R IY N F EH L D 
greenslade	G R IY N S L AH D 
greenup	G R IY N AH P 
grenfell	G R EH N F AH L 
grethel	G R EH TH AH L 
grewe	G R UW 
gribbin	G R IH B IH N 
gridlocks	G R IH D L AA K S 
grieb	G R IY B 
grieger	G R IY G ER 
grievers	G R IY V ER Z 
griffing	G R IH F IH NG 
grigoli	G R IH G OW L IY 
grigsby	G R IH G Z B IY 
grimwood	G R IH M W UH D 
gring	G R IH NG 
grinnell	G R IH N EH L 
grise	G R AY Z 
grites	G R AY T S 
groch	G R AA K 
grode	G R OW D 
grodin	G R OW D IH N 
groep	G R OW P 
groh	G R OW 
groma	G R AA M AH 
gronlund	G R AA N L AH N D 
gropper	G R AA P ER 
grosch	G R AO SH 
grossberg	G R OW S B ER G 
groulx	G R AW L K S 
grovers	G R OW V ER Z 
grube	G R UW B 
gruenwald	G R UH N W AO L D 
grupe	G R UW P 
grutman	G R AH T M AH N 
gryder	G R AY D ER 
gryphons	G R IH F AH N Z 
guadagno	G AA D AA G N OW 
guardino	G AA R D IY N OW 
guarnaccia	G AA R N AE CH IY AH 
guckert	G AH K ER T 
guerneville	G ER N AH V IH L 
guichard	G IH SH AA R D 
guidera	G IY D EH R AH 
guidroz	G W IY D R OW Z 
guiles	G AY L Z 
guiliano	G IY L IY AA N OW 
guncotton	G AH N K AA T AH N 
gunnarson	G AH N AA R S AH N 
gurr	G ER 
gurrola	G UH R OW L AH 
gursky	G ER S K IY 
gushers	G AH SH ER Z 
gusinsky	G AH S IH N S K IY 
gustafsson	G UW S T AA F S AH N 
gusted	G AH S T IH D 
gutfreund	G UH T F R EH N D 
gutmann	G AH T M AH N 
gutowski	G AH T AO F S K IY 
gutt	G AH T 
guttered	G AH T ER D 
guymon	G AY M AH N 
guynes	G AY N Z 
haberle	HH AE B ER AH L 
habich	HH AE B IH K 
habicht	HH AE B IH K T 
habig	HH AE B IH G 
hable	HH EY B AH L 
haby	HH EY B IY 
hackbart	HH AE K B AA R T 
hacke	HH AE K 
hadnot	HH AE D N AH T 
haen	HH IY N 
hafen	HH AE F AH N 
hagans	HH EY G AH N Z 
hagee	HH AE JH IY 
hagens	HH EY G AH N Z 
haggar	HH AE G ER 
hahs	HH AA S 
haigler	HH EY G L ER 
hainsworth	HH EY N S W ER TH 
hairiness	HH EH R IY N AH S 
hajdu	HH AA Y D UW 
hajduk	HH AY D AH K 
hajjar	HH AA Y AA R 
hakes	HH EY K S 
hakko	HH AE K OW 
halcyone	HH AE L S IY OW N 
hald	HH AO L D 
halfacre	HH AE F EY K ER 
halftimes	HH AE F T AY M Z 
haliburton	HH AE L IH B ER T AH N 
halik	HH AE L IH K 
hallin	HH AE L IH N 
hallinan	HH AE L IH N AH N 
halm	HH AA M 
halmos	HH AO L M OW S 
halogenated	HH AE L AH JH AH N EY T IH D 
halpin	HH AE L P IH N 
hamberg	HH AE M B ER G 
hamil	HH AE M AH L 
hammar	HH AE M ER 
hammerlock	HH AE M ER L AA K 
hamner	HH AE M N ER 
hamrick	HH AE M R IH K 
hamsphire	HH AE M S F AY R 
hanas	HH AE N AH Z 
handly	HH AE N D L IY 
hangen	HH AE NG AH N 
hanken	HH AE NG K AH N 
hankin	HH AE NG K IH N 
hannemann	HH AE N M AH N 
hanoverian	HH AE N OW V IH R IY AH N 
hansberry	HH AE N S B EH R IY 
hanukkahs	HH AA N AH K AH Z 
happel	HH AE P AH L 
harangues	HH ER AE NG Z 
harassers	HH ER AE S ER Z 
harbach	HH AA R B AA K 
harc	HH AA R K 
hardeners	HH AA R D AH N ER Z 
hardey	HH AA R D IY 
hardgrove	HH AA R D G R OW V 
haren	HH EH R AH N 
harewood	HH EH R W UH D 
harkens	HH AA R K AH N Z 
harkrider	HH AA R K R AY D ER 
harmattan	HH AA R M AH T AE N 
harmfully	HH AA R M F AH L IY 
harnisch	HH AA R N IH SH 
harpists	HH AA R P IH S T S 
harries	HH EH R IY Z 
harrold	HH EH R AH L D 
harrop	HH EH R AH P 
harshbarger	HH AA R SH B AA R G ER 
hartkopf	HH AA R T K AO F 
hartner	HH AA R T N ER 
hartsville	HH AA R T S V IH L 
hartwood	HH AA R T W UH D 
harvell	HH AA R V AH L 
harvin	HH AA R V IH N 
hasbrook	HH AE S B R UH K 
hashemite	HH AE SH AH M AY T 
hashmark	HH AE SH M AA R K 
hasids	HH AH S IH D Z 
haslett	HH AE S L IH T 
hasley	HH AE Z L IY 
hassen	HH AE S AH N 
hassett	HH AE S IH T 
hastert	HH AE S T ER T 
hasting	HH EY S T IH NG 
haston	HH AE S T AH N 
haswell	HH AE S W EH L 
haughey	HH AO K IY 
haun	HH AO N 
hauptfuhrer	HH AW P T F Y UH R ER 
haverfield	HH AE V ER F IY L D 
havey	HH EY V IY 
havier	HH AE V Y ER 
havis	HH AE V IH S 
hawe	HH AO 
hawkey	HH AO K IY 
hawksley	HH AO K S L IY 
haycraft	HH EY K R AE F T 
haydon	HH EY D AH N 
haydu	HH EY D UW 
hayer	HH EY ER 
haymon	HH EY M AH N 
haynsworth	HH EY N Z W ER TH 
hazell	HH AE Z AH L 
hazle	HH EY Z AH L 
headcounts	HH EH D K AW N T S 
headwater	HH EH D W AO T ER 
hearon	HH IH R AH N 
heathcote	HH EH TH K AH T 
heatherington	HH EH DH ER IH NG T AH N 
heckart	HH EH K ER T 
heckel	HH EH K AH L 
heckert	HH EH K ER T 
heckman	HH EH K M AH N 
hedgecock	HH EH JH K AA K 
hedger	HH EH JH ER 
hedlund	HH EH D L AH N D 
hedonic	HH AH D AA N IH K 
heenan	HH IY N AH N 
heffelfinger	HH EH F IH L F IH NG ER 
hefferon	HH EH F ER AH N 
hefti	HH EH F T IY 
heiman	HH AY M AH N 
heinicke	HH AY N IH K 
heinke	HH AY NG K 
heinonen	HH AY N AH N AH N 
heinrichs	HH AY N R IH K S 
heiny	HH AY N IY 
heinzelman	HH AY N Z AH L M AH N 
heisey	HH AY S IY 
heisler	HH AY S AH L ER 
heitner	HH AY T N ER 
helberg	HH EH L B ER G 
helf	HH EH L F 
helgesen	HH EH L G IY Z AH N 
helke	HH EH L K 
hellenism	HH EH L AH N IH Z AH M 
hellenized	HH EH L AH N AY Z D 
helling	HH EH L IH NG 
helmes	HH EH L M Z 
helmick	HH EH L M IH K 
helming	HH EH L M IH NG 
helwig	HH EH L W IH G 
hemdale	HH EH M D EY L 
hemiplegia	HH EH M AH P L IY JH IY AH 
henard	HH EH N ER D 
hendel	HH EH N D AH L 
henkle	HH EH NG K AH L 
henly	HH EH N L IY 
henneberry	HH EH N B EH R IY 
hennen	HH EH N AH N 
henness	HH EH N IH S 
hennig	HH EH N IH G 
hennigan	HH EH N IH G AH N 
henningsen	HH EH N IH NG S AH N 
henpeck	HH EH N P EH K 
henrika	HH EH N R IH K AH 
hentoff	HH EH N T AO F 
hentz	HH EH N T S 
hepp	HH EH P 
hepper	HH EH P ER 
heptathlon	HH EH P T AE TH L AA N 
herberg	HH ER B ER G 
hergott	HH ER G AH T 
hering	HH ER IH NG 
hermance	HH ER M AH N S 
hermanns	HH ER M AA N Z 
herminie	HH ER M IH N IY 
hernandes	HH ER N IH N D Z 
herrman	HH EH R M AH N 
hershberger	HH ER SH B ER G ER 
hershman	HH ER SH M AH N 
hertel	HH ER T AH L 
herter	HH ER T ER 
herzfeld	HH ER Z F EH L D 
herzig	HH ER Z IH G 
hessling	HH EH S AH L IH NG 
hetrick	HH EH T R IH K 
hetzel	HH EH T Z AH L 
heumann	HH Y UW M AH N 
hewer	HH Y UW ER 
hews	HH Y UW Z 
hexane	HH EH K S EY N 
hext	HH EH K S T 
heydon	HH EY D AH N 
hibbard	HH IH B ER D 
hiccough	HH IH K AH P 
hichens	HH IH K AH N Z 
hickling	HH IH K L IH NG 
higginbottom	HH IH G IH N B AA T AH M 
highfliers	HH AY F L AY ER Z 
highschools	HH AY S K UW L Z 
highspeed	HH AY S P IY D 
hilaria	HH IY L AA R IY AH 
hilberg	HH IH L B ER G 
hilburn	HH IH L B ER N 
hilder	HH IH L D ER 
hiler	HH AY L ER 
hiley	HH IH L IY 
hilke	HH IH L K AH 
hille	HH IH L 
hillenburg	HH IH L AH N B ER G 
hilmer	HH IH L M ER 
hilsinger	HH IH L S IH NG ER 
